,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_bp_mean_mag,phot_rp_mean_mag,l,b,phot_g_mean_mag,radial_velocity,radial_velocity_error,probability,stability,label
102,5997312600660700160,244.25148944822263,0.07945051,-38.56638696050185,0.05369181,5.660853195850332,0.09246049,-14.037840688741227,0.10586844,-21.056819970953196,0.065936856,0.9885963,19.547401,15.589433,341.1006044350738,8.623726392685008,17.009108,,,0.1292517006802721,147,1
103,5992496391843755136,245.03027910554817,0.03554423,-42.648308238888355,0.02791168,5.518070484133499,0.043626424,-14.097352233559585,0.046310972,-20.896619304180213,0.035300743,2.8637278,12.860707,11.213239,338.6257699325235,5.310380586423415,12.205177,-14.447426,18.578182,0.14285714285714285,147,1
104,5992496396116386944,245.02993437242856,0.076873675,-42.64771225425571,0.056222342,5.80369066578914,0.09208899,-14.304688393352741,0.09862535,-21.049724772931032,0.07330071,1.2031296,16.845037,14.405379,338.62601214456475,5.3109816912275,16.126598,,,0.14285714285714285,147,1
105,5992502817093701120,245.32482699542675,0.12695959,-42.78137817028546,0.0887275,5.322742942859158,0.15236558,-12.839001848368191,0.14995266,-21.715098136348168,0.10846064,1.1257287,19.606554,16.4655,338.6848974941381,5.063245426767394,17.802193,,,0.2108843537414966,147,1
106,5967828165566252288,250.34913376479767,0.08058576,-42.07326365862292,0.0498113,5.658276818721057,0.085732475,-11.320885455799926,0.10692968,-21.63234423078188,0.083639294,1.0072973,19.349546,15.590866,341.7416716374995,2.8378758916571853,16.990372,,,0.8775510204081632,147,1
108,5992523639093034752,245.3772730516575,0.012231168,-42.54465964877842,0.00815188,5.546697061098933,0.01605164,-12.642172453590861,0.014168923,-19.96105348400402,0.009994373,0.9496896,13.7360525,12.019093,338.88068139850463,5.202882548397483,12.913173,0.51567924,4.948138,0.3741496598639456,147,1
112,5992612562094731648,246.774032507817,0.013558972,-43.09136496685548,0.008922516,5.501314309897704,0.017245552,-12.583308233335057,0.01628341,-20.96143516516148,0.011042566,1.0366446,14.387755,12.4593115,339.20692887671345,4.088076593887582,13.447392,-0.049875487,2.6946821,0.6938775510204082,147,1
113,5992612566432416768,246.77381492382602,0.05017379,-43.09197472259147,0.03435544,5.533509009017162,0.06283029,-13.138497665155242,0.063012846,-20.510948143883134,0.04223533,0.9242692,,,339.2063777076214,4.087768688779131,15.357714,,,0.3469387755102041,147,1
114,5997426297030110080,242.9631026194456,0.07577151,-38.85141925163139,0.044908244,5.531672117899308,0.092133425,-14.234225005181475,0.10417328,-20.35471818272942,0.07677695,1.0447011,18.72617,15.366635,340.1702517333481,9.120748476325561,16.702879,,,0.1292517006802721,147,1
119,5968056142460236416,252.28686114629636,0.037527274,-41.783114963063724,0.024994185,5.306070993256674,0.04358239,-10.32495736605058,0.053648327,-20.746983505380264,0.042969298,0.9869985,15.927758,13.528219,342.90130402028143,1.9323335926652363,14.662004,2.697806,7.1368265,0.32653061224489793,147,1
